source_region,target_region,lag_days,te_bits,cte_bits,reverse_source_region,reverse_te_bits,reverse_cte_bits,net_directionality_bits,permutation_p,permutations,conditioning,fdr_q,significant_fdr_0_10
Synthetic_Region_D,Synthetic_Region_A,14,0.1603750950461053,0.16985950962597118,Synthetic_Region_B,0.002058865054787942,0.011917841866710693,0.1579416677592605,0.0125,79,target t-1 state + target nutrient tertile,0.03333333333333334,True
Synthetic_Region_A,Synthetic_Region_B,14,0.15667116750489915,0.16491544977063433,Synthetic_Region_C,0.011615206057019524,0.040838572411257115,0.12407687735937721,0.0125,79,target t-1 state + target nutrient tertile,0.03333333333333334,True
Synthetic_Region_C,Synthetic_Region_D,14,0.157069505942646,0.16412759657369305,Synthetic_Region_A,0.010282613066004318,0.02263233307691158,0.1414952634967815,0.0125,79,target t-1 state + target nutrient tertile,0.03333333333333334,True
Synthetic_Region_B,Synthetic_Region_C,14,0.1350633554376707,0.1617796935823006,Synthetic_Region_D,0.014874030818431541,0.02845443295718301,0.1333252606251176,0.0125,79,target t-1 state + target nutrient tertile,0.03333333333333334,True
Synthetic_Region_A,Synthetic_Region_B,7,0.058324634307931306,0.07018723710547925,Synthetic_Region_C,0.006762886135192608,0.020964796743068975,0.049222440362410275,0.0125,79,target t-1 state + target nutrient tertile,0.03333333333333334,True
Synthetic_Region_D,Synthetic_Region_A,7,0.05752199394906643,0.06560869683787873,Synthetic_Region_B,0.004377235512484111,0.01712151511130777,0.04848718172657096,0.0125,79,target t-1 state + target nutrient tertile,0.03333333333333334,True
Synthetic_Region_A,Synthetic_Region_B,21,0.04662898511156101,0.05362330756757254,Synthetic_Region_C,0.015719285337565284,0.022915217002092824,0.030708090565479716,0.0125,79,target t-1 state + target nutrient tertile,0.03333333333333334,True
Synthetic_Region_B,Synthetic_Region_C,7,0.03863105979566493,0.045194388568762164,Synthetic_Region_D,0.006912002833459318,0.015856301301431414,0.02933808726733075,0.025,79,target t-1 state + target nutrient tertile,0.06000000000000001,True
Synthetic_Region_D,Synthetic_Region_A,21,0.03277460337704943,0.03890157184241088,Synthetic_Region_B,0.004551132979595571,0.006611720632631582,0.0322898512097793,0.0125,79,target t-1 state + target nutrient tertile,0.03333333333333334,True
Synthetic_Region_D,Synthetic_Region_A,3,0.028852134112438553,0.03795603212403785,Synthetic_Region_B,0.002935781011304113,0.018573431596330323,0.019382600527707527,0.0125,79,target t-1 state + target nutrient tertile,0.03333333333333334,True
Synthetic_Region_A,Synthetic_Region_B,3,0.03300659587219331,0.03781920313988499,Synthetic_Region_C,0.002059016260504173,0.013246390118259406,0.024572813021625582,0.0625,79,target t-1 state + target nutrient tertile,0.11538461538461539,False
Synthetic_Region_C,Synthetic_Region_D,7,0.024525557645562034,0.035047273680280024,Synthetic_Region_A,0.00467564756500174,0.02573403764357671,0.009313236036703313,0.0375,79,target t-1 state + target nutrient tertile,0.0818181818181818,True
Synthetic_Region_D,Synthetic_Region_A,45,0.000585864006920215,0.03140868415023321,Synthetic_Region_B,0.008053083215461044,0.030268384442263513,0.0011402997079696942,0.0625,79,target t-1 state + target nutrient tertile,0.11538461538461539,False
