date,region,sst_c,climatological_mean_sst_c,climatological_p90_sst_c,is_mhw,mhw_intensity_c,nitrate_mmol_m3,phosphate_mmol_m3,silicate_mmol_m3,microplastic_concentration_items_m3,circulation_residence_proxy,hab_event,hidden_probability,sst_anomaly_c,thermal_z_7d,thermal_z_14d,thermal_z_30d,thermal_z_60d,nitrate_z_7d,nitrate_z_14d,nitrate_z_30d,nitrate_z_60d,phosphate_z_7d,phosphate_z_14d,phosphate_z_30d,phosphate_z_60d,silicate_z_7d,silicate_z_14d,silicate_z_30d,silicate_z_60d,anomaly_score_7d,anomaly_score_14d,anomaly_score_30d,anomaly_score_60d,scale_agreement,multiscale_anomaly_score,anomaly_event,event_id
2024-01-01,Synthetic_Region_A,16.0,16.0,17.35,0,0.0,3.75,0.4951498170277903,5.914249284967241,11.87906438716899,0.5388224690847131,0,0.02412675720846703,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,
2024-01-01,Synthetic_Region_B,19.01259390285021,19.012593902850195,20.362593902850197,0,0.0,3.684816705234231,0.47743285356887544,5.933422481945994,13.09741940400747,0.56118969171194,0,0.026941347629895748,1.4210854715202004e-14,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,
2024-01-01,Synthetic_Region_C,21.727501103885064,21.72750110387761,23.077501103877612,0,0.0,3.500597119380981,0.44973278978084263,5.755581780965188,10.30211188704556,0.5062470751342476,0,0.0413758740255817,7.453593298123451e-12,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,
2024-01-01,Synthetic_Region_D,23.898779434742774,23.898779434680165,25.248779434680166,0,0.0,3.229362681283717,0.416864509458161,5.411639829580508,9.359640406130666,0.48448436468572725,0,0.024137038936110234,6.260947316150123e-11,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,
2024-01-02,Synthetic_Region_A,15.947008035947709,16.084285937971455,17.434285937971456,0,0.0,3.8643339444973015,0.4137694263461435,6.658951287732267,4.476510509224982,0.33191602639371454,0,0.034052819625631205,-0.13727790202374557,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,
2024-01-02,Synthetic_Region_B,18.968489622384386,19.090347418756057,20.44034741875606,0,0.0,3.364365636170588,0.5460494359392153,5.599140908712988,13.86170545201614,0.5741461579038705,0,0.020975750841138622,-0.12185779637167116,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,
2024-01-02,Synthetic_Region_C,21.74458108535821,21.787299617123622,23.137299617123624,0,0.0,3.6876993856080884,0.47210447444576925,5.66753274948996,15.733815976357665,0.6028684866549681,0,0.020246348415296423,-0.04271853176541285,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,
2024-01-02,Synthetic_Region_D,23.7990164640165,23.9323213412878,25.2823213412878,0,0.0,3.366520637137377,0.45949857424001106,4.91512354982537,20.598995940714147,0.6620955749956173,0,0.030237619803317805,-0.13330487727129992,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,
2024-01-03,Synthetic_Region_A,16.14679125161111,16.168536247545553,17.518536247545555,0,0.0,3.3139223455326903,0.36778139139586663,6.068828594664198,3.6867904139876733,0.2983322928212639,0,0.012833516095086227,-0.021744995934444233,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,
2024-01-03,Synthetic_Region_B,18.906954765166372,19.167560455224503,20.517560455224505,0,0.0,3.5013977617571976,0.515874597161884,5.614553172061673,8.130871947755224,0.45305398691983534,0,0.011380706483828879,-0.2606056900581315,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,
