seed,feature,AP_drop,interpretation
17,log_cells,0.09038627797882935,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,temperature,-0.01828976073616334,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,salinity,0.01606409018358526,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,wind_speed,-6.280490285337503e-07,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,gap_days,0.010372750270793402,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,season_sin,0.03258015336269869,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,season_cos,-0.026510107119898235,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,latitude,0.012828776068613323,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,longitude,0.022363348504257724,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,log_cells,0.10227902015449154,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,temperature,-0.01601072320243077,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,salinity,0.01023031404264066,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,wind_speed,-1.0277440597450394e-06,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,gap_days,-6.025976069853889e-05,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,season_sin,0.042386957741132075,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,season_cos,-0.008599403608932243,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,latitude,0.0177465236087965,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,longitude,-0.00028693165754262173,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,log_cells,0.09444845931275886,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,temperature,-0.009103290164901273,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,salinity,0.004089105736947596,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,wind_speed,-1.6966100930271288e-06,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,gap_days,0.005059708257705076,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,season_sin,0.035808257854241826,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,season_cos,-0.003808292088544163,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,latitude,0.0279234940605127,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,longitude,0.004021403298492543,masking sensitivity; correlated covariates and distribution shift limit interpretation
