seed,feature,AP_drop,interpretation
17,log_cells,0.1730762952211662,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,temperature,-0.003723066182074436,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,salinity,-0.0010929223853475556,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,wind_speed,-0.0004027509232801818,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,gap_days,-0.0011095471220796127,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,season_sin,0.007805731861343285,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,season_cos,0.0015468871028543052,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,latitude,0.013820926583946375,masking sensitivity; correlated covariates and distribution shift limit interpretation
17,longitude,-0.0031740546528233604,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,log_cells,0.15720326463535755,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,temperature,0.001872598681055937,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,salinity,-0.004371026845198245,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,wind_speed,-5.813021344974745e-06,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,gap_days,-0.004749156270101196,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,season_sin,-0.00809665356442607,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,season_cos,-0.007388793847943803,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,latitude,0.004449361525190543,masking sensitivity; correlated covariates and distribution shift limit interpretation
42,longitude,0.006684059114047208,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,log_cells,0.1679711799588246,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,temperature,-0.011549234969945976,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,salinity,0.0017896011259045108,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,wind_speed,-9.8915489495921e-06,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,gap_days,0.0004754564905371239,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,season_sin,0.011368076355674162,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,season_cos,-0.0032448850851820032,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,latitude,0.016678290094589515,masking sensitivity; correlated covariates and distribution shift limit interpretation
73,longitude,0.002639634949941544,masking sensitivity; correlated covariates and distribution shift limit interpretation
